6.50185,6.5057,6.48714,6.19212
6.5891,6.31019,6.39137,6.33139
6.39257,6.56378,6.52547,6.0488
6.39691,6.56577,6.62263,6.19566
6.33025,6.4023,6.4901,6.05327
6.58699,6.35193,6.38901,6.13231
6.59891,6.65422,6.77277,5.97743
6.30063,6.40655,6.4541,6.06418
6.07623,6.52342,6.54155,6.01086
6.29169,6.45469,6.5027,5.92204
6.46051,6.35731,6.3727,5.99169
6.27901,6.39177,6.51852,5.96362
6.53077,6.48362,6.52248,6.35959
6.36104,6.2977,6.35777,6.01924
6.30437,6.40829,6.42056,6.32558
6.43738,6.50752,6.55628,6.07168
6.59225,6.47677,6.53236,5.94594
6.38569,6.33703,6.46448,5.98301
6.67906,6.3643,6.3998,5.9764
6.43265,6.41316,6.49845,6.06208
6.40093,6.42939,6.40786,6.07915
6.44658,6.43656,6.4987,5.90362
6.24788,6.45557,6.54972,6.06865
6.26495,6.47864,6.50986,6.04476
6.47783,6.45208,6.50456,5.92871
6.50424,6.36962,6.41903,5.96404
6.47645,6.29169,6.42866,6.15027
6.43737,6.44794,6.47147,5.97253
6.41246,6.44418,6.47391,5.9978
6.45556,6.44412,6.50475,5.98595
6.43613,6.39898,6.41215,6.08572
6.59962,6.48591,6.51875,5.98586
6.51024,6.4194,6.48793,6.07047
6.35967,6.43818,6.4706,6.0557
6.34991,6.49084,6.57376,6.04138
6.61721,6.43663,6.48246,6.0772
6.45235,6.51774,6.57517,5.86545
6.55102,6.34364,6.44631,6.17941
6.24546,6.29015,6.40626,6.17384
6.33274,6.46297,6.50014,6.08895
6.48059,6.50747,6.54521,6.10491
6.39366,6.45158,6.49954,6.06564
6.46205,6.52293,6.56341,6.07376
6.44837,6.39255,6.46697,6.04532
6.36341,6.44554,6.47634,6.07865
6.40162,6.40889,6.46458,6.06773
